Vendor Name,DATE - Split Order Requested to Ship Date,Split Order Number,SKU ID (Vendor SKU ID),Product Name,Order Item Quantity (# of units ordered),Gross Placed: Total Wholesale $,Invoice #
Née Name Change,4/29/25,45791351,NEEBARE,Digital Name Change Kit,1,15.60,480
Née Name Change,4/29/25,45940988,NEEBARE,Digital Name Change Kit,1,15.60,481
Née Name Change,4/29/25,46020731,NEEBARE,Digital Name Change Kit,1,15.60,482
Née Name Change,4/28/25,45176011,NEEBARE,Digital Name Change Kit,1,15.60,483
Née Name Change,4/28/25,45943065,NEEBARE,Digital Name Change Kit,1,15.60,484
Née Name Change,4/28/25,45978133,NEEBARE,Digital Name Change Kit,1,15.60,485
Née Name Change,4/28/25,46011327,NEEBARE,Digital Name Change Kit,1,15.60,486
Née Name Change,4/28/25,46027917,NEEBARE,Digital Name Change Kit,1,15.60,487
Née Name Change,4/27/25,44392559,NEEBARE,Digital Name Change Kit,1,15.60,488
Née Name Change,4/27/25,45220816,NEEBARE,Digital Name Change Kit,1,15.60,489
Née Name Change,4/27/25,45357014,NEEBARE,Digital Name Change Kit,1,15.60,490
Née Name Change,4/27/25,45896352,NEEBARE,Digital Name Change Kit,1,15.60,491
Née Name Change,4/27/25,45918771,NEEBARE,Digital Name Change Kit,1,15.60,492
Née Name Change,4/26/25,45824167,NEEBARE,Digital Name Change Kit,1,15.60,493
Née Name Change,4/25/25,45429841,NEEBARE,Digital Name Change Kit,1,15.60,494
Née Name Change,4/25/25,45811323,NEEBARE,Digital Name Change Kit,1,15.60,495
Née Name Change,4/25/25,45935630,NEEBARE,Digital Name Change Kit,1,15.60,496
Née Name Change,4/25/25,45949276,NEEBARE,Digital Name Change Kit,1,15.60,497
Née Name Change,4/24/25,45865398,NEEBARE,Digital Name Change Kit,1,15.60,498
Née Name Change,4/24/25,45918668,NEEBARE,Digital Name Change Kit,1,15.60,499
Née Name Change,4/23/25,45800592,NEEBARE,Digital Name Change Kit,1,15.60,500
Née Name Change,4/23/25,45820001,NEEBARE,Digital Name Change Kit,1,15.60,501
Née Name Change,4/23/25,45907230,NEEBARE,Digital Name Change Kit,1,15.60,502
Née Name Change,4/22/25,45081735,NEEBARE,Digital Name Change Kit,1,15.60,503
Née Name Change,4/22/25,45552405,NEEBARE,Digital Name Change Kit,1,15.60,504
Née Name Change,4/22/25,45880518,NEEBARE,Digital Name Change Kit,1,15.60,505
Née Name Change,4/21/25,45795259,NEEBARE,Digital Name Change Kit,1,15.60,506
Née Name Change,4/21/25,45869699,NEEBARE,Digital Name Change Kit,1,15.60,507
Née Name Change,4/21/25,45870073,NEEBARE,Digital Name Change Kit,1,15.60,508
Née Name Change,4/20/25,45841165,NEEBARE,Digital Name Change Kit,1,15.60,509
Née Name Change,4/20/25,45845691,NEEBARE,Digital Name Change Kit,1,15.60,510
Née Name Change,4/20/25,45850836,NEEBARE,Digital Name Change Kit,1,15.60,511
Née Name Change,4/18/25,45293553,NEEBARE,Digital Name Change Kit,1,15.60,512
Née Name Change,4/18/25,45476062,NEEBARE,Digital Name Change Kit,1,15.60,513
Née Name Change,4/18/25,45810808,NEEBARE,Digital Name Change Kit,1,15.60,514
Née Name Change,4/18/25,45815090,NEEBARE,Digital Name Change Kit,1,15.60,515
Née Name Change,4/17/25,45369086,NEEBARE,Digital Name Change Kit,1,15.60,516
Née Name Change,4/16/25,45703009,NEEBARE,Digital Name Change Kit,1,15.60,517
Née Name Change,4/16/25,45775815,NEEBARE,Digital Name Change Kit,1,15.60,518
Née Name Change,4/15/25,44471497,NEEBARE,Digital Name Change Kit,1,15.60,519
Née Name Change,4/15/25,45754944,NEEBARE,Digital Name Change Kit,1,15.60,520
Née Name Change,4/15/25,45758469,NEEBARE,Digital Name Change Kit,1,15.60,521
Née Name Change,4/14/25,45517986,NEEBARE,Digital Name Change Kit,1,15.60,522
Née Name Change,4/14/25,45567693,NEEBARE,Digital Name Change Kit,1,15.60,523
Née Name Change,4/13/25,44995263,NEEBARE,Digital Name Change Kit,1,15.60,524
Née Name Change,4/13/25,45426829,NEEBARE,Digital Name Change Kit,1,15.60,525
Née Name Change,4/13/25,45711491,NEEBARE,Digital Name Change Kit,1,15.60,526
Née Name Change,4/13/25,45718118,NEEBARE,Digital Name Change Kit,1,15.60,527
Née Name Change,4/12/25,45477758,NEEBARE,Digital Name Change Kit,1,15.60,528
Née Name Change,4/12/25,45692351,NEEBARE,Digital Name Change Kit,1,15.60,529
Née Name Change,4/11/25,45486579,NEEBARE,Digital Name Change Kit,1,15.60,530
Née Name Change,4/11/25,45677831,NEEBARE,Digital Name Change Kit,1,15.60,531
Née Name Change,4/11/25,45683437,NEEBARE,Digital Name Change Kit,1,15.60,532
Née Name Change,4/10/25,45644902,NEEBARE,Digital Name Change Kit,1,15.60,533
Née Name Change,4/9/25,44919328,NEEBARE,Digital Name Change Kit,1,15.60,534
Née Name Change,4/9/25,45630392,NEEBARE,Digital Name Change Kit,1,15.60,535
Née Name Change,4/9/25,45645961,NEEBARE,Digital Name Change Kit,1,15.60,536
Née Name Change,4/8/25,45569117,NEEBARE,Digital Name Change Kit,1,15.60,537
Née Name Change,4/7/25,45191736,NEEBARE,Digital Name Change Kit,1,15.60,538
Née Name Change,4/7/25,45391794,NEEBARE,Digital Name Change Kit,1,15.60,539
Née Name Change,4/7/25,45532208,NEEBARE,Digital Name Change Kit,1,15.60,540
Née Name Change,4/6/25,45573282,NEEBARE,Digital Name Change Kit,1,15.60,541
Née Name Change,4/6/25,45593145,NEEBARE,Digital Name Change Kit,1,15.60,542
Née Name Change,4/5/25,45179877,NEEBARE,Digital Name Change Kit,1,15.60,543
Née Name Change,4/5/25,45516461,NEEBARE,Digital Name Change Kit,1,15.60,544
Née Name Change,4/4/25,45540490,NEEBARE,Digital Name Change Kit,1,15.60,545
Née Name Change,4/3/25,45421553,NEEBARE,Digital Name Change Kit,1,15.60,546
Née Name Change,4/3/25,45515947,NEEBARE,Digital Name Change Kit,1,15.60,547
Née Name Change,4/2/25,45109792,NEEBARE,Digital Name Change Kit,1,15.60,548
Née Name Change,4/1/25,45128152,NEEBARE,Digital Name Change Kit,1,15.60,549
Née Name Change,4/1/25,45457534,NEEBARE,Digital Name Change Kit,1,15.60,550
Née Name Change,4/1/25,45472729,NEEBARE,Digital Name Change Kit,1,15.60,551
Née Name Change,4/1/25,45486474,NEEBARE,Digital Name Change Kit,1,15.60,552
Née Name Change,4/1/25,45486900,NEEBARE,Digital Name Change Kit,1,15.60,553
Née Name Change,4/1/25,44875463,NEELUXECA,Luxe Name Change Kit,1,40.05,554
Née Name Change,4/1/25,45174162,NEELUXESC,Luxe Name Change Kit,1,40.05,555
Née Name Change,4/1/25,45473174,NEELUXETN,Luxe Name Change Kit,1,40.05,556
