Vendor Name,DATE - Split Order Requested to Ship Date,Split Order Number,SKU ID (Vendor SKU ID),Product Name,Order Item Quantity (# of units ordered),Gross Placed: Total Wholesale $,Invoice #
Née Name Change,2/28/25,44538863,NEEBARE,Digital Name Change Kit,1,15.60,229
Née Name Change,2/28/25,44894987,NEEBARE,Digital Name Change Kit,1,15.60,230
Née Name Change,2/26/25,44513271,NEEBARE,Digital Name Change Kit,1,15.60,231
Née Name Change,2/26/25,44867347,NEEBARE,Digital Name Change Kit,1,15.60,232
Née Name Change,2/26/25,44871015,NEEBARE,Digital Name Change Kit,1,15.60,233
Née Name Change,2/25/25,44852022,NEEBARE,Digital Name Change Kit,1,15.60,234
Née Name Change,2/24/25,44809210,NEEBARE,Digital Name Change Kit,1,15.60,235
Née Name Change,2/24/25,44841890,NEEBARE,Digital Name Change Kit,1,15.60,236
Née Name Change,2/24/25,44845415,NEEBARE,Digital Name Change Kit,1,15.60,237
Née Name Change,2/24/25,44845919,NEEBARE,Digital Name Change Kit,1,15.60,238
Née Name Change,2/23/25,44661536,NEEBARE,Digital Name Change Kit,1,15.60,239
Née Name Change,2/23/25,44744338,NEEBARE,Digital Name Change Kit,1,15.60,240
Née Name Change,2/23/25,44823223,NEEBARE,Digital Name Change Kit,1,15.60,241
Née Name Change,2/22/25,44734703,NEEBARE,Digital Name Change Kit,1,15.60,242
Née Name Change,2/20/25,44777155,NEEBARE,Digital Name Change Kit,1,15.60,243
Née Name Change,2/19/25,44687093,NEEBARE,Digital Name Change Kit,1,15.60,244
Née Name Change,2/18/25,44726628,NEEBARE,Digital Name Change Kit,1,15.60,245
Née Name Change,2/18/25,44754487,NEEBARE,Digital Name Change Kit,1,15.60,246
Née Name Change,2/17/25,44737449,NEEBARE,Digital Name Change Kit,1,15.60,247
Née Name Change,2/17/25,44742224,NEEBARE,Digital Name Change Kit,1,15.60,248
Née Name Change,2/16/25,44732025,NEEBARE,Digital Name Change Kit,1,15.60,249
Née Name Change,2/15/25,44706689,NEEBARE,Digital Name Change Kit,1,15.60,250
Née Name Change,2/15/25,44708323,NEEBARE,Digital Name Change Kit,1,15.60,251
Née Name Change,2/14/25,44704804,NEEBARE,Digital Name Change Kit,1,15.60,252
Née Name Change,2/13/25,44685841,NEEBARE,Digital Name Change Kit,1,15.60,253
Née Name Change,2/12/25,44672237,NEEBARE,Digital Name Change Kit,1,15.60,254
Née Name Change,2/11/25,44551000,NEEBARE,Digital Name Change Kit,1,15.60,255
Née Name Change,2/11/25,44667045,NEEBARE,Digital Name Change Kit,1,15.60,256
Née Name Change,2/10/25,44619848,NEEBARE,Digital Name Change Kit,1,15.60,257
Née Name Change,2/10/25,44651679,NEEBARE,Digital Name Change Kit,1,15.60,258
Née Name Change,2/9/25,44618332,NEEBARE,Digital Name Change Kit,1,15.60,259
Née Name Change,2/6/25,44607756,NEEBARE,Digital Name Change Kit,1,15.60,260
Née Name Change,2/6/25,44608520,NEEBARE,Digital Name Change Kit,1,15.60,261
Née Name Change,2/5/25,44590941,NEEBARE,Digital Name Change Kit,1,15.60,262
Née Name Change,2/4/25,44524532,NEEBARE,Digital Name Change Kit,1,15.60,263
Née Name Change,2/3/25,44277077,NEEBARE,Digital Name Change Kit,1,15.60,264
Née Name Change,2/3/25,44502554,NEEBARE,Digital Name Change Kit,1,15.60,265
Née Name Change,2/3/25,44568549,NEEBARE,Digital Name Change Kit,1,15.60,266
Née Name Change,2/2/25,44417042,NEEBARE,Digital Name Change Kit,1,15.60,267
Née Name Change,2/1/25,44340983,NEEBARE,Digital Name Change Kit,1,15.60,268
Née Name Change,2/1/25,44422435,NEELUXEOH,Luxe Name Change Kit,1,40.05,269
Née Name Change,2/1/25,44545958,NEELUXEMI,Luxe Name Change Kit,1,40.05,270
Née Name Change,2/3/25,43822182,NEELUXENY,Luxe Name Change Kit,1,40.05,271
Née Name Change,2/3/25,44566055,NEELUXEIN,Luxe Name Change Kit,1,40.05,272
Née Name Change,2/4/25,44525808,NEELUXEPA,Luxe Name Change Kit,1,40.05,273
Née Name Change,2/4/25,44574217,NEELUXEFL,Luxe Name Change Kit,1,40.05,274
Née Name Change,2/5/25,44589085,NEELUXETX,Luxe Name Change Kit,1,40.05,275
Née Name Change,2/7/25,44610070,NEELUXETX,Luxe Name Change Kit,1,40.05,276
Née Name Change,2/8/25,44623763,NEELUXECT,Luxe Name Change Kit,1,40.05,277
Née Name Change,2/9/25,44622847,NEELUXECA,Luxe Name Change Kit,1,40.05,278
Née Name Change,2/11/25,44663143,NEELUXENY,Luxe Name Change Kit,1,40.05,279
Née Name Change,2/11/25,44665947,NEELUXEWA,Luxe Name Change Kit,1,40.05,280
Née Name Change,2/12/25,44621442,NEELUXETX,Luxe Name Change Kit,1,40.05,281
Née Name Change,2/12/25,44679085,NEELUXEFL,Luxe Name Change Kit,1,40.05,282
