Vendor Name,DATE - Split Order Requested to Ship Date,Split Order Number,SKU ID (Vendor SKU ID),Product Name,Order Item Quantity (# of units ordered),Gross Placed: Total Wholesale $,Invoice #
Née Name Change,3/30/25,44943726,NEEBARE,Digital Name Change Kit,1,15.60,318
Née Name Change,3/30/25,45179461,NEEBARE,Digital Name Change Kit,1,15.60,319
Née Name Change,3/30/25,45288964,NEEBARE,Digital Name Change Kit,1,15.60,320
Née Name Change,3/30/25,45367097,NEEBARE,Digital Name Change Kit,1,15.60,321
Née Name Change,3/30/25,45405350,NEEBARE,Digital Name Change Kit,1,15.60,322
Née Name Change,3/29/25,45362524,NEEBARE,Digital Name Change Kit,1,15.60,323
Née Name Change,3/29/25,45422293,NEEBARE,Digital Name Change Kit,1,15.60,324
Née Name Change,3/28/25,45343279,NEEBARE,Digital Name Change Kit,1,15.60,325
Née Name Change,3/27/25,45262774,NEEBARE,Digital Name Change Kit,1,15.60,326
Née Name Change,3/27/25,45373964,NEEBARE,Digital Name Change Kit,1,15.60,327
Née Name Change,3/27/25,45375818,NEEBARE,Digital Name Change Kit,1,15.60,328
Née Name Change,3/25/25,44893034,NEEBARE,Digital Name Change Kit,1,15.60,329
Née Name Change,3/24/25,44694491,NEEBARE,Digital Name Change Kit,1,15.60,330
Née Name Change,3/24/25,45073376,NEEBARE,Digital Name Change Kit,1,15.60,331
Née Name Change,3/24/25,45221435,NEEBARE,Digital Name Change Kit,1,15.60,332
Née Name Change,3/23/25,45182228,NEEBARE,Digital Name Change Kit,1,15.60,333
Née Name Change,3/23/25,45293481,NEEBARE,Digital Name Change Kit,1,15.60,334
Née Name Change,3/23/25,45306874,NEEBARE,Digital Name Change Kit,1,15.60,335
Née Name Change,3/22/25,44469755,NEEBARE,Digital Name Change Kit,1,15.60,336
Née Name Change,3/22/25,45290136,NEEBARE,Digital Name Change Kit,1,15.60,337
Née Name Change,3/22/25,45291294,NEEBARE,Digital Name Change Kit,1,15.60,338
Née Name Change,3/21/25,45268344,NEEBARE,Digital Name Change Kit,1,15.60,339
Née Name Change,3/21/25,45268918,NEEBARE,Digital Name Change Kit,1,15.60,340
Née Name Change,3/20/25,45241851,NEEBARE,Digital Name Change Kit,1,15.60,341
Née Name Change,3/20/25,45244918,NEEBARE,Digital Name Change Kit,1,15.60,342
Née Name Change,3/20/25,45248531,NEEBARE,Digital Name Change Kit,1,15.60,343
Née Name Change,3/19/25,45222536,NEEBARE,Digital Name Change Kit,1,15.60,344
Née Name Change,3/19/25,45229381,NEEBARE,Digital Name Change Kit,1,15.60,345
Née Name Change,3/17/25,44691396,NEEBARE,Digital Name Change Kit,1,15.60,346
Née Name Change,3/17/25,44855596,NEEBARE,Digital Name Change Kit,1,15.60,347
Née Name Change,3/17/25,45115414,NEEBARE,Digital Name Change Kit,1,15.60,348
Née Name Change,3/17/25,45192754,NEEBARE,Digital Name Change Kit,1,15.60,349
Née Name Change,3/17/25,45196755,NEEBARE,Digital Name Change Kit,1,15.60,350
Née Name Change,3/16/25,44437657,NEEBARE,Digital Name Change Kit,1,15.60,351
Née Name Change,3/16/25,44697315,NEEBARE,Digital Name Change Kit,1,15.60,352
Née Name Change,3/16/25,45102252,NEEBARE,Digital Name Change Kit,1,15.60,353
Née Name Change,3/16/25,45175642,NEEBARE,Digital Name Change Kit,1,15.60,354
Née Name Change,3/16/25,45181094,NEEBARE,Digital Name Change Kit,1,15.60,355
Née Name Change,3/15/25,44810196,NEEBARE,Digital Name Change Kit,1,15.60,356
Née Name Change,3/15/25,44922146,NEEBARE,Digital Name Change Kit,1,15.60,357
Née Name Change,3/15/25,45016252,NEEBARE,Digital Name Change Kit,1,15.60,358
Née Name Change,3/15/25,45042638,NEEBARE,Digital Name Change Kit,1,15.60,359
Née Name Change,3/15/25,45159377,NEEBARE,Digital Name Change Kit,1,15.60,360
Née Name Change,3/15/25,45161567,NEEBARE,Digital Name Change Kit,1,15.60,361
Née Name Change,3/14/25,45141767,NEEBARE,Digital Name Change Kit,1,15.60,362
Née Name Change,3/13/25,45115117,NEEBARE,Digital Name Change Kit,1,15.60,363
Née Name Change,3/12/25,44786670,NEEBARE,Digital Name Change Kit,1,15.60,364
Née Name Change,3/12/25,45111341,NEEBARE,Digital Name Change Kit,1,15.60,365
Née Name Change,3/11/25,45084331,NEEBARE,Digital Name Change Kit,1,15.60,366
Née Name Change,3/11/25,45088665,NEEBARE,Digital Name Change Kit,1,15.60,367
Née Name Change,3/10/25,44921643,NEEBARE,Digital Name Change Kit,1,15.60,368
Née Name Change,3/10/25,44942439,NEEBARE,Digital Name Change Kit,1,15.60,369
Née Name Change,3/10/25,45068229,NEEBARE,Digital Name Change Kit,1,15.60,370
Née Name Change,3/10/25,45068545,NEEBARE,Digital Name Change Kit,1,15.60,371
