Vendor Name,DATE - Split Order Requested to Ship Date,Split Order Number,SKU ID (Vendor SKU ID),Product Name,Order Item Quantity (# of units ordered),Gross Placed: Total Wholesale $,Invoice #
Née Name Change,2025-05-31,46391083,NEEBARE,Digital Name Change Kit,1,15.60,655
Née Name Change,2025-05-30,46194747,NEEBARE,Digital Name Change Kit,1,15.60,656
Née Name Change,2025-05-30,46409913,NEEBARE,Digital Name Change Kit,1,15.60,657
Née Name Change,2025-05-30,46746927,NEEBARE,Digital Name Change Kit,1,15.60,658
Née Name Change,2025-05-29,46720280,NEEBARE,Digital Name Change Kit,1,15.60,659
Née Name Change,2025-05-29,46739558,NEEBARE,Digital Name Change Kit,1,15.60,660
Née Name Change,2025-05-28,45305567,NEEBARE,Digital Name Change Kit,1,15.60,661
Née Name Change,2025-05-28,46522729,NEEBARE,Digital Name Change Kit,1,15.60,662
Née Name Change,2025-05-28,46568611,NEEBARE,Digital Name Change Kit,1,15.60,663
Née Name Change,2025-05-28,46657651,NEEBARE,Digital Name Change Kit,1,15.60,664
Née Name Change,2025-05-28,46694945,NEEBARE,Digital Name Change Kit,1,15.60,665
Née Name Change,2025-05-28,46701344,NEEBARE,Digital Name Change Kit,1,15.60,666
Née Name Change,2025-05-28,46709542,NEEBARE,Digital Name Change Kit,1,15.60,667
Née Name Change,2025-05-28,46710210,NEEBARE,Digital Name Change Kit,1,15.60,668
Née Name Change,2025-05-27,45370791,NEEBARE,Digital Name Change Kit,1,15.60,669
Née Name Change,2025-05-27,46409644,NEEBARE,Digital Name Change Kit,1,15.60,670
Née Name Change,2025-05-27,46676916,NEEBARE,Digital Name Change Kit,1,15.60,671
Née Name Change,2025-05-27,46689970,NEEBARE,Digital Name Change Kit,1,15.60,672
Née Name Change,2025-05-26,46651274,NEEBARE,Digital Name Change Kit,1,15.60,673
Née Name Change,2025-05-26,46660964,NEEBARE,Digital Name Change Kit,1,15.60,674
Née Name Change,2025-05-26,46662592,NEEBARE,Digital Name Change Kit,1,15.60,675
Née Name Change,2025-05-25,45522668,NEEBARE,Digital Name Change Kit,1,15.60,676
Née Name Change,2025-05-24,46147028,NEEBARE,Digital Name Change Kit,1,15.60,677
Née Name Change,2025-05-22,46101815,NEEBARE,Digital Name Change Kit,1,15.60,678
Née Name Change,2025-05-22,46216526,NEEBARE,Digital Name Change Kit,1,15.60,679
Née Name Change,2025-05-22,46548225,NEEBARE,Digital Name Change Kit,1,15.60,680
Née Name Change,2025-05-22,46558544,NEEBARE,Digital Name Change Kit,1,15.60,681
Née Name Change,2025-05-21,45208271,NEEBARE,Digital Name Change Kit,1,15.60,682
Née Name Change,2025-05-21,46286416,NEEBARE,Digital Name Change Kit,1,15.60,683
Née Name Change,2025-05-21,46363376,NEEBARE,Digital Name Change Kit,1,15.60,684
Née Name Change,2025-05-21,46422402,NEEBARE,Digital Name Change Kit,1,15.60,685
Née Name Change,2025-05-21,46533018,NEEBARE,Digital Name Change Kit,1,15.60,686
Née Name Change,2025-05-21,46546938,NEEBARE,Digital Name Change Kit,1,15.60,687
Née Name Change,2025-05-21,46548681,NEEBARE,Digital Name Change Kit,1,15.60,688
Née Name Change,2025-05-20,46514061,NEEBARE,Digital Name Change Kit,1,15.60,689
Née Name Change,2025-05-20,46522539,NEEBARE,Digital Name Change Kit,1,15.60,690
Née Name Change,2025-05-19,45495100,NEEBARE,Digital Name Change Kit,1,15.60,691
Née Name Change,2025-05-19,46502131,NEEBARE,Digital Name Change Kit,1,15.60,692
Née Name Change,2025-05-19,46502379,NEEBARE,Digital Name Change Kit,1,15.60,693
Née Name Change,2025-05-18,46471954,NEEBARE,Digital Name Change Kit,1,15.60,694
Née Name Change,2025-05-17,46232393,NEEBARE,Digital Name Change Kit,1,15.60,695
Née Name Change,2025-05-17,46311206,NEEBARE,Digital Name Change Kit,1,15.60,696
Née Name Change,2025-05-17,46313671,NEEBARE,Digital Name Change Kit,1,15.60,697
Née Name Change,2025-05-16,43998073,NEEBARE,Digital Name Change Kit,1,15.60,698
Née Name Change,2025-05-16,46095189,NEEBARE,Digital Name Change Kit,1,15.60,699
Née Name Change,2025-05-16,46417620,NEEBARE,Digital Name Change Kit,1,15.60,700
Née Name Change,2025-05-15,46391130,NEEBARE,Digital Name Change Kit,1,15.60,701
Née Name Change,2025-05-15,46397952,NEEBARE,Digital Name Change Kit,1,15.60,702
Née Name Change,2025-05-15,46399924,NEEBARE,Digital Name Change Kit,1,15.60,703
Née Name Change,2025-05-14,45888202,NEEBARE,Digital Name Change Kit,1,15.60,704
Née Name Change,2025-05-13,46071464,NEEBARE,Digital Name Change Kit,1,15.60,705
Née Name Change,2025-05-13,46117563,NEEBARE,Digital Name Change Kit,1,15.60,706
Née Name Change,2025-05-13,46273502,NEEBARE,Digital Name Change Kit,1,15.60,707
Née Name Change,2025-05-13,46347992,NEEBARE,Digital Name Change Kit,1,15.60,708
Née Name Change,2025-05-13,46349372,NEEBARE,Digital Name Change Kit,1,15.60,709
Née Name Change,2025-05-13,46357856,NEEBARE,Digital Name Change Kit,1,15.60,710
Née Name Change,2025-05-12,45675098,NEEBARE,Digital Name Change Kit,1,15.60,711
Née Name Change,2025-05-12,46333796,NEEBARE,Digital Name Change Kit,1,15.60,712
Née Name Change,2025-05-12,46334396,NEEBARE,Digital Name Change Kit,1,15.60,713
Née Name Change,2025-05-12,46336568,NEEBARE,Digital Name Change Kit,1,15.60,714
Née Name Change,2025-05-11,46179382,NEEBARE,Digital Name Change Kit,1,15.60,715
Née Name Change,2025-05-10,45625549,NEEBARE,Digital Name Change Kit,1,15.60,716
Née Name Change,2025-05-10,46294888,NEEBARE,Digital Name Change Kit,1,15.60,717
Née Name Change,2025-05-09,46258785,NEEBARE,Digital Name Change Kit,1,15.60,718
Née Name Change,2025-05-09,46274964,NEEBARE,Digital Name Change Kit,1,15.60,719
Née Name Change,2025-05-09,46276267,NEEBARE,Digital Name Change Kit,1,15.60,720
Née Name Change,2025-05-08,45630959,NEEBARE,Digital Name Change Kit,1,15.60,721
Née Name Change,2025-05-07,44874234,NEEBARE,Digital Name Change Kit,1,15.60,722
Née Name Change,2025-05-07,46219374,NEEBARE,Digital Name Change Kit,1,15.60,723
Née Name Change,2025-05-07,46230141,NEEBARE,Digital Name Change Kit,1,15.60,724
Née Name Change,2025-05-06,46198884,NEEBARE,Digital Name Change Kit,1,15.60,725
Née Name Change,2025-05-06,46212620,NEEBARE,Digital Name Change Kit,1,15.60,726
Née Name Change,2025-05-06,46215113,NEEBARE,Digital Name Change Kit,1,15.60,727
Née Name Change,2025-05-05,45749127,NEEBARE,Digital Name Change Kit,1,15.60,728
Née Name Change,2025-05-05,45908235,NEEBARE,Digital Name Change Kit,1,15.60,729
Née Name Change,2025-05-05,46181986,NEEBARE,Digital Name Change Kit,1,15.60,730
Née Name Change,2025-05-04,45059769,NEEBARE,Digital Name Change Kit,1,15.60,731
Née Name Change,2025-05-04,45909419,NEEBARE,Digital Name Change Kit,1,15.60,732
Née Name Change,2025-05-04,46166635,NEEBARE,Digital Name Change Kit,1,15.60,733
Née Name Change,2025-05-03,46126751,NEEBARE,Digital Name Change Kit,1,15.60,734
Née Name Change,2025-05-02,45917800,NEEBARE,Digital Name Change Kit,1,15.60,735
